ID stanice;mesic detekce;druhy z roku detekce;hodnota rozdilu teplot
109;1;2018;7.77742
109;2;1991;7.77143
109;2;1996;8.01404
109;2;2003;8.16429
109;3;2013;6.05484
109;3;2014;5.86452
109;7;1994;4.53548
109;8;2015;5.64516
109;11;1993;4.91667
109;11;1994;6.24
109;11;1995;5.59333
110;1;1991;0.612903
110;2;1991;8.17857
110;3;1989;4.79677
110;4;1990;1.53667
110;5;1991;4.56774
110;5;1992;5.24839
110;6;1992;2.26
110;7;1991;1.77742
110;8;1992;3.98387
110;9;1990;2.60333
110;9;1991;3.15333
110;11;1990;2.74333
501;1;1988;11.8677
501;3;1977;6.40645
501;3;2013;6.74516
501;3;2014;8.13548
501;8;2015;5.49355
501;11;1994;6.29
111;2;1966;10.4393
111;3;1972;5.74194
111;3;1977;6.53548
111;5;1970;5.0129
111;5;1971;4.43226
111;7;1965;2.74194
111;7;1967;3.12258
112;1;2007;9.22581
112;2;1966;9.15
112;5;2019;5.94839
112;7;1994;5.5129
112;8;2015;5.99355
112;11;1994;5.63333
112;11;1995;5.36667
511;1;2007;9.19355
511;1;2018;7.22903
511;3;2007;5.69355
511;3;2013;5.75484
511;3;2014;7.00323
511;4;2018;5.20667
511;5;2019;5.84194
511;8;2015;4.99355
511;8;2016;4.71935
511;9;2007;4.36
511;9;2023;3.89
511;11;2006;3.46333
511;11;2007;4.1
511;12;2011;7.80323
113;1;2007;9.71613
113;2;2003;8.22857
113;3;2007;4.92581
113;4;2009;4.34333
113;5;2004;3.75806
113;6;2004;5.40667
113;7;2011;3.88065
113;9;2007;5.24667
113;11;2006;4.30333
113;11;2007;4.56333
113;12;2011;7.24516
114;2;2021;3.65936
114;3;2020;4.1043
114;4;2021;3.93667
114;5;2022;3.93548
114;6;2020;4.29333
114;8;2021;2.3
114;8;2022;2.3
114;9;2023;4.24
114;10;2022;3.8129
114;11;2022;1.29667
114;12;2020;1.59355
114;12;2023;1.94194
115;3;2014;8.21613
115;7;1994;5.89355
115;11;1994;5.97333
115;11;1995;5.62
116;1;1988;8.5871
116;5;1992;5.51613
116;7;1994;4.38387
116;10;1995;3.87097
116;11;1994;5.94333
116;11;1995;5.40667
116;12;1997;5.55806
499;1;1988;10.1129
499;3;1962;6.13548
499;3;2014;7.06452
499;8;2015;5.53548
499;9;2007;4.75667
499;10;1966;5.76774
117;2;1966;10.2786
117;8;2015;5.93226
117;11;1994;5.76667
117;11;1995;5.33
118;1;1983;8.83548
118;1;1988;8.54839
118;4;1983;3.99333
118;7;1984;4.06129
118;8;1992;3.99032
118;11;1986;3.89667
118;11;1993;4.38667
509;1;2007;8.79677
509;2;2003;7.975
509;3;2007;4.87742
509;4;1998;5.26
509;5;2004;3.67097
